2020-03-23 22:43:30.473470	https://www.encodeproject.org/report/?type=Experiment&status=released&assay_title=DNase-seq&assembly=hg19&limit=all
ID	Accession	Assay name	Assay title	Target of assay	Target gene symbol	Biosample summary	Biosample term name	Description	Lab	Project	Status	Files	Related series	Biosample accession	Biological replicate	Technical replicate	Linked antibody	Organism	Life stage	Biosample age	Biosample treatment	Biosample treatment ontology ID	Biosample treatment concentration	Biosample treatment concentration units	Biosample treatment duration	Biosample treatment duration units	Synchronization	Post-synchronization time	Post-synchronization time units	Replicates
/experiments/ENCSR000ENI/	ENCSR000ENI	DNase-seq	DNase-seq			cardiac fibroblast female adult	cardiac fibroblast	DNase-seq and DGF on human HCFaa	John Stamatoyannopoulos, UW	ENCODE	released	/files/ENCFF000AFC/,/files/ENCFF001AZG/,/files/ENCFF001AZH/,/files/ENCFF001AZI/,/files/ENCFF001BAE/,/files/ENCFF001BBO/,/files/ENCFF001DAG/,/files/ENCFF001DAI/,/files/ENCFF001DAJ/,/files/ENCFF001DAL/,/files/ENCFF001DAW/,/files/ENCFF001SQQ/,/files/ENCFF001VZN/,/files/ENCFF001VZO/,/files/ENCFF001WHS/,/files/ENCFF001WHU/,/files/ENCFF001DAE/,/files/ENCFF001DAF/,/files/ENCFF001DAH/,/files/ENCFF001DAK/,/files/ENCFF001DAV/,/files/ENCFF001WHR/,/files/ENCFF001WHT/,/files/ENCFF359XJX/,/files/ENCFF293VKZ/,/files/ENCFF457CFU/,/files/ENCFF932ZCX/,/files/ENCFF185RSW/,/files/ENCFF970KHO/,/files/ENCFF989HNL/,/files/ENCFF851IDV/,/files/ENCFF330WZN/,/files/ENCFF690GBE/,/files/ENCFF814UYN/,/files/ENCFF690CGY/,/files/ENCFF653KYK/,/files/ENCFF270NJF/,/files/ENCFF154RPS/,/files/ENCFF847LLD/,/files/ENCFF982XVS/,/files/ENCFF528ZJQ/,/files/ENCFF768DYY/,/files/ENCFF815KSP/,/files/ENCFF006TCP/,/files/ENCFF135IDH/,/files/ENCFF100RBR/,/files/ENCFF653USJ/,/files/ENCFF243RPN/,/files/ENCFF409FIY/,/files/ENCFF592LNH/,/files/ENCFF039GOB/,/files/ENCFF017WOW/,/files/ENCFF812SZA/,/files/ENCFF336FMK/,/files/ENCFF339WEE/,/files/ENCFF725IYT/,/files/ENCFF957GVU/,/files/ENCFF036DBX/,/files/ENCFF117TEM/,/files/ENCFF472TFO/,/files/ENCFF722ZAB/,/files/ENCFF736NSG/,/files/ENCFF506AZS/,/files/ENCFF233SJW/,/files/ENCFF194CWO/,/files/ENCFF039XWI/,/files/ENCFF928OJC/,/files/ENCFF446GVL/,/files/ENCFF928KGL/,/files/ENCFF373ATD/,/files/ENCFF139WLY/,/files/ENCFF072RCL/,/files/ENCFF387GLD/,/files/ENCFF229USD/,/files/ENCFF608XDX/,/files/ENCFF588JMO/,/files/ENCFF300CAD/,/files/ENCFF866FQI/,/files/ENCFF777QJP/		ENCBS032BLA,ENCBS307AAA	2,1	1,3		Homo sapiens	adult											/replicates/6d974ead-83c7-4177-8e7e-5b849bac91cc/,/replicates/4ea194f8-03db-46c2-9eef-44703a2bc756/,/replicates/87193a07-0530-44fe-9611-f6cd27b87039/
/experiments/ENCSR000EKC/	ENCSR000EKC	DNase-seq	DNase-seq			HTR-8/SVneo	HTR-8/SVneo	DNase-seq on human HTR8svn	Gregory Crawford, Duke	ENCODE	released	/files/ENCFF000ADK/,/files/ENCFF000SSF/,/files/ENCFF000SSG/,/files/ENCFF000SSH/,/files/ENCFF000SSI/,/files/ENCFF000SSJ/,/files/ENCFF000SSO/,/files/ENCFF000SSQ/,/files/ENCFF001SOY/,/files/ENCFF001UWB/,/files/ENCFF760UZV/,/files/ENCFF087CZQ/,/files/ENCFF569DSQ/,/files/ENCFF922AYV/,/files/ENCFF729KFP/,/files/ENCFF016BFE/,/files/ENCFF595URB/,/files/ENCFF353XZO/,/files/ENCFF476ULA/,/files/ENCFF858VGH/,/files/ENCFF355GJL/,/files/ENCFF668GUY/,/files/ENCFF407WTY/,/files/ENCFF140JNH/,/files/ENCFF478QZI/,/files/ENCFF284JHO/,/files/ENCFF461VQE/,/files/ENCFF565AMN/,/files/ENCFF384VWD/,/files/ENCFF965AWE/,/files/ENCFF760QUX/,/files/ENCFF164DWM/,/files/ENCFF400BQH/,/files/ENCFF898OBF/,/files/ENCFF310VTA/,/files/ENCFF081XPM/		ENCBS331AAA	1	2,1		Homo sapiens	embryonic	6-12 weeks										/replicates/64103f10-eb4d-49c7-ad28-a3dfdf15945f/,/replicates/05ce0389-35f0-4045-bb49-ce5f6d39de4a/
/experiments/ENCSR000ELD/	ENCSR000ELD	DNase-seq	DNase-seq			epidermal melanocyte	epidermal melanocyte	Duke human Melano DNase-seq	Gregory Crawford, Duke	ENCODE	released	/files/ENCFF000ADT/,/files/ENCFF000TAM/,/files/ENCFF000TAN/,/files/ENCFF000TAO/,/files/ENCFF000TAP/,/files/ENCFF000TAQ/,/files/ENCFF000TAS/,/files/ENCFF000TAT/,/files/ENCFF001SPH/,/files/ENCFF001UXD/,/files/ENCFF908AOQ/,/files/ENCFF252WFO/,/files/ENCFF558YMJ/,/files/ENCFF075MQY/,/files/ENCFF925QKB/,/files/ENCFF172JYA/,/files/ENCFF992CTJ/,/files/ENCFF166RZB/,/files/ENCFF951AWM/,/files/ENCFF378GTW/,/files/ENCFF401EOB/,/files/ENCFF726KHF/,/files/ENCFF712EPN/,/files/ENCFF182XUW/,/files/ENCFF233CGZ/,/files/ENCFF208OOF/,/files/ENCFF863UGY/,/files/ENCFF464RVE/,/files/ENCFF021ZCV/,/files/ENCFF694UPJ/,/files/ENCFF874GEN/,/files/ENCFF269AKZ/,/files/ENCFF156IRV/,/files/ENCFF656LEP/,/files/ENCFF227ISL/,/files/ENCFF456WEL/		ENCBS336AAA	1	2,1		Homo sapiens	unknown											/replicates/f9d81e17-8f5c-4660-ac3c-412d8181d70c/,/replicates/127b8b7c-1531-4ec6-93d7-01885b7ece82/
/experiments/ENCSR000EIK/	ENCSR000EIK	DNase-seq	DNase-seq			frontal cortex male adult (27 years) and male adult (35 years)	frontal cortex	DNase-seq on human cerebrum frontal	Gregory Crawford, Duke	ENCODE	released	/files/ENCFF000SFQ/,/files/ENCFF000SFR/,/files/ENCFF000SFT/,/files/ENCFF000SFU/,/files/ENCFF000SFV/,/files/ENCFF000SGJ/,/files/ENCFF000SGL/,/files/ENCFF001UUJ/,/files/ENCFF971LZJ/,/files/ENCFF177LCP/,/files/ENCFF855HES/,/files/ENCFF443BIH/,/files/ENCFF859EWM/,/files/ENCFF041OQU/,/files/ENCFF738SQY/,/files/ENCFF255NTQ/,/files/ENCFF988LXN/,/files/ENCFF460XCY/,/files/ENCFF200HZV/,/files/ENCFF871SFH/,/files/ENCFF525QSN/,/files/ENCFF830FWC/,/files/ENCFF144EGT/,/files/ENCFF281ASO/,/files/ENCFF342SXM/,/files/ENCFF122IXS/,/files/ENCFF673YZL/,/files/ENCFF271VDP/,/files/ENCFF774MMU/,/files/ENCFF644QVD/,/files/ENCFF524VVA/,/files/ENCFF179GMG/,/files/ENCFF231BDP/,/files/ENCFF991JUW/,/files/ENCFF110QGM/,/files/ENCFF423SVU/,/files/ENCFF307CRF/,/files/ENCFF301AOO/,/files/ENCFF645PTC/,/files/ENCFF888SDH/,/files/ENCFF719AOJ/,/files/ENCFF115VAE/,/files/ENCFF092NAO/,/files/ENCFF246RTJ/,/files/ENCFF535JHD/,/files/ENCFF614PRQ/,/files/ENCFF376UBI/,/files/ENCFF780XDM/,/files/ENCFF961XGT/,/files/ENCFF954LPL/,/files/ENCFF839BDR/,/files/ENCFF984XDD/,/files/ENCFF318UBZ/,/files/ENCFF175SSY/,/files/ENCFF046IRY/,/files/ENCFF089HIH/,/files/ENCFF382YHN/,/files/ENCFF134NVT/		ENCBS155AAA,ENCBS156AAA	1,2	1		Homo sapiens	adult	35 years,27 years										/replicates/90b1fc71-217c-463d-8978-7296c325c1c8/,/replicates/044fdca5-0435-4639-b75e-d0bbc0a7da59/
/experiments/ENCSR385SZQ/	ENCSR385SZQ	DNase-seq	DNase-seq			MCF 10A treated with 1 μM tamoxifen for 6 hours	MCF 10A		John Stamatoyannopoulos, UW	ENCODE	released	/files/ENCFF500YXW/,/files/ENCFF681ABY/,/files/ENCFF067QBH/,/files/ENCFF939VWC/,/files/ENCFF075MOM/,/files/ENCFF666ARI/,/files/ENCFF212YND/,/files/ENCFF309DPQ/,/files/ENCFF854LPZ/,/files/ENCFF080LMC/,/files/ENCFF979ZGA/,/files/ENCFF890PZG/,/files/ENCFF289NQF/,/files/ENCFF756AHD/,/files/ENCFF398ZYI/,/files/ENCFF499XYU/,/files/ENCFF182RUT/,/files/ENCFF218ADU/,/files/ENCFF085JAQ/,/files/ENCFF221BQM/,/files/ENCFF179OLG/,/files/ENCFF297KNH/,/files/ENCFF955DHP/,/files/ENCFF933TRB/,/files/ENCFF620LEV/,/files/ENCFF332DWR/,/files/ENCFF246PTY/,/files/ENCFF295COM/,/files/ENCFF080JJG/,/files/ENCFF055IQX/,/files/ENCFF353SXX/,/files/ENCFF122NLD/		ENCBS317EPD	1	1,2		Homo sapiens	adult	36 years	tamoxifen	CHEBI:41774			6.0	hour				/replicates/0ed3e179-5f6c-4b30-abb4-ef2d3479ad8e/,/replicates/27304a64-d7a1-49e0-b2d6-ae64a2b8cfd8/
/experiments/ENCSR000EMQ/	ENCSR000EMQ	DNase-seq	DNase-seq			GM06990	GM06990	DNase-seq and DGF on human GM06990	John Stamatoyannopoulos, UW	ENCODE	released	/files/ENCFF000AES/,/files/ENCFF001ATN/,/files/ENCFF001ATO/,/files/ENCFF001ATP/,/files/ENCFF001ATQ/,/files/ENCFF001ATR/,/files/ENCFF001AVI/,/files/ENCFF001CTF/,/files/ENCFF001CTH/,/files/ENCFF001CTI/,/files/ENCFF001CTK/,/files/ENCFF001CTW/,/files/ENCFF001SQG/,/files/ENCFF001VYZ/,/files/ENCFF001VZA/,/files/ENCFF001WFI/,/files/ENCFF001WFK/,/files/ENCFF001CTD/,/files/ENCFF001CTE/,/files/ENCFF001CTG/,/files/ENCFF001CTJ/,/files/ENCFF001CTV/,/files/ENCFF001WFH/,/files/ENCFF001WFJ/,/files/ENCFF493JGO/,/files/ENCFF604AWF/,/files/ENCFF509SBK/,/files/ENCFF373UZD/,/files/ENCFF206GTX/,/files/ENCFF593YOY/,/files/ENCFF461QJJ/,/files/ENCFF778RUN/,/files/ENCFF611DUL/,/files/ENCFF283XIN/,/files/ENCFF494GJN/,/files/ENCFF642TYE/,/files/ENCFF592PIH/,/files/ENCFF013VAN/,/files/ENCFF693WNH/,/files/ENCFF234TSU/,/files/ENCFF059JPY/,/files/ENCFF735IVN/,/files/ENCFF781AEX/,/files/ENCFF464DTT/,/files/ENCFF414HVK/,/files/ENCFF668YQI/,/files/ENCFF043DMN/,/files/ENCFF103CMQ/,/files/ENCFF460PMB/,/files/ENCFF654LQL/,/files/ENCFF623VSU/,/files/ENCFF262TSY/,/files/ENCFF051OCT/,/files/ENCFF863LXW/,/files/ENCFF764HFW/,/files/ENCFF861XMO/,/files/ENCFF926EJI/,/files/ENCFF094ZRB/,/files/ENCFF917GVI/,/files/ENCFF881RMT/,/files/ENCFF811YPN/,/files/ENCFF609XGK/,/files/ENCFF617HEH/,/files/ENCFF146SXL/,/files/ENCFF718KGA/,/files/ENCFF592UEF/,/files/ENCFF439HBY/,/files/ENCFF517EYN/,/files/ENCFF846RBM/,/files/ENCFF955UZX/,/files/ENCFF756BEU/,/files/ENCFF815DFN/,/files/ENCFF582JWR/,/files/ENCFF021EXY/,/files/ENCFF652NDY/,/files/ENCFF055YVL/,/files/ENCFF529JFV/,/files/ENCFF709PEX/,/files/ENCFF816SBX/,/files/ENCFF601KZF/,/files/ENCFF876ZTR/,/files/ENCFF814TWF/,/files/ENCFF170CVE/,/files/ENCFF985OCG/,/files/ENCFF150HIU/,/files/ENCFF723JBY/	/reference-epigenomes/ENCSR514SGN/	ENCBS414HDG,ENCBS057ENC	2,1	1		Homo sapiens	unknown											/replicates/3fe87485-39a3-4699-b9c9-7a6b7041ce0d/,/replicates/43ae4ffc-5489-4bdc-b93b-0cfa06e4b6f8/
/experiments/ENCSR000EKX/	ENCSR000EKX	DNase-seq	DNase-seq			MCF-7 genetically modified using RNAi	MCF-7	DNase-seq on human MCF-7 treated with CTCF shRNA knockdown	Gregory Crawford, Duke	ENCODE	released	/files/ENCFF000SYJ/,/files/ENCFF000SYL/,/files/ENCFF000SYM/,/files/ENCFF000SYN/,/files/ENCFF000SYO/,/files/ENCFF000SYP/,/files/ENCFF000SYU/,/files/ENCFF000SYV/,/files/ENCFF000SZD/,/files/ENCFF001UWV/,/files/ENCFF340ZWA/,/files/ENCFF967RSN/,/files/ENCFF622VVQ/,/files/ENCFF508AGV/,/files/ENCFF965LJU/,/files/ENCFF851BRB/,/files/ENCFF600NOD/,/files/ENCFF376ISR/,/files/ENCFF447ECL/,/files/ENCFF550IWD/,/files/ENCFF771RNP/,/files/ENCFF554LGG/,/files/ENCFF221VYI/,/files/ENCFF289MXX/,/files/ENCFF382XYI/,/files/ENCFF871VLX/,/files/ENCFF540TTD/,/files/ENCFF566ZNQ/,/files/ENCFF097KYQ/,/files/ENCFF473CEN/,/files/ENCFF885PNV/,/files/ENCFF331NOQ/,/files/ENCFF855SNR/,/files/ENCFF156AAO/,/files/ENCFF445JRH/,/files/ENCFF191PIT/,/files/ENCFF246LQX/,/files/ENCFF635GUJ/		ENCBS094ENC	1	3,1,2		Homo sapiens	adult	69 years										/replicates/e1a5dde1-c622-492d-8228-e632212e092f/,/replicates/b062bca1-7534-4dd3-938d-3db8915fea59/,/replicates/167762b1-de2e-4bea-af2e-11834fdc781f/
/experiments/ENCSR000EOM/	ENCSR000EOM	DNase-seq	DNase-seq			glomerular endothelial cell	glomerular endothelial cell	DNase-seq on human HRGEC	John Stamatoyannopoulos, UW	ENCODE	released	/files/ENCFF000AGD/,/files/ENCFF001DLQ/,/files/ENCFF001DLR/,/files/ENCFF001DLS/,/files/ENCFF001DLT/,/files/ENCFF001DLU/,/files/ENCFF001DLV/,/files/ENCFF001DLW/,/files/ENCFF001DLZ/,/files/ENCFF001DMG/,/files/ENCFF001DMH/,/files/ENCFF001SRR/,/files/ENCFF001WMF/,/files/ENCFF001WMG/,/files/ENCFF001WMH/,/files/ENCFF001WMI/,/files/ENCFF847HIS/,/files/ENCFF508FNE/,/files/ENCFF221ETZ/,/files/ENCFF914OQO/,/files/ENCFF410LWP/,/files/ENCFF477QJF/,/files/ENCFF081QSB/,/files/ENCFF599YTD/,/files/ENCFF283JQE/,/files/ENCFF507URI/,/files/ENCFF654QAL/,/files/ENCFF776QPB/,/files/ENCFF993TCA/,/files/ENCFF801CSJ/,/files/ENCFF372IID/,/files/ENCFF113KEF/,/files/ENCFF861NJS/,/files/ENCFF927KUT/,/files/ENCFF982AJY/,/files/ENCFF636BJB/,/files/ENCFF528CKW/,/files/ENCFF371NUJ/,/files/ENCFF946QOD/,/files/ENCFF208EGU/,/files/ENCFF683WKN/,/files/ENCFF883FSZ/,/files/ENCFF030EGU/,/files/ENCFF910PWZ/,/files/ENCFF284RFI/,/files/ENCFF760SLX/,/files/ENCFF984PNP/,/files/ENCFF022OPW/,/files/ENCFF529SHS/,/files/ENCFF779SPA/,/files/ENCFF296SMG/,/files/ENCFF358DSH/,/files/ENCFF888ZVB/,/files/ENCFF416APW/,/files/ENCFF320KHK/,/files/ENCFF837ULX/,/files/ENCFF800JZO/,/files/ENCFF533QIZ/,/files/ENCFF085FTM/,/files/ENCFF979ARQ/,/files/ENCFF393ZCH/,/files/ENCFF217AES/,/files/ENCFF656ZYW/,/files/ENCFF416UWK/,/files/ENCFF420GLR/,/files/ENCFF960EDC/,/files/ENCFF599GIR/,/files/ENCFF121PIG/,/files/ENCFF940UMJ/,/files/ENCFF264EWF/,/files/ENCFF975RPX/,/files/ENCFF787ENV/,/files/ENCFF320ZRS/,/files/ENCFF707NKS/,/files/ENCFF328YXQ/,/files/ENCFF339ZSO/,/files/ENCFF959OSD/,/files/ENCFF969HME/,/files/ENCFF563UCE/,/files/ENCFF091QYT/,/files/ENCFF178MRH/,/files/ENCFF959YCW/,/files/ENCFF500MAH/,/files/ENCFF714JOW/,/files/ENCFF408DOO/,/files/ENCFF123RRW/		ENCBS324AAA,ENCBS755UWJ	1,2	1		Homo sapiens	unknown											/replicates/c245882e-bd80-423f-89f4-6e8d3bf49a6c/,/replicates/246c4671-b9ec-4ce1-b93d-85234b7b162e/
/experiments/ENCSR274SDO/	ENCSR274SDO	DNase-seq	DNase-seq			right arm bone male embryo (81 days)	right arm bone		John Stamatoyannopoulos, UW	ENCODE	released	/files/ENCFF703BOM/,/files/ENCFF076HKU/,/files/ENCFF631BFP/,/files/ENCFF097UOL/,/files/ENCFF583FGU/,/files/ENCFF556STA/,/files/ENCFF148GHO/,/files/ENCFF463KFI/,/files/ENCFF588ITQ/,/files/ENCFF880AIP/,/files/ENCFF766XLL/,/files/ENCFF203VAT/,/files/ENCFF544CRT/,/files/ENCFF123TKB/,/files/ENCFF802QGB/,/files/ENCFF756QVZ/,/files/ENCFF683DNG/,/files/ENCFF430CNF/,/files/ENCFF011XSC/,/files/ENCFF650SIB/,/files/ENCFF709ZLD/,/files/ENCFF885MKW/,/files/ENCFF596VXA/,/files/ENCFF580WAJ/,/files/ENCFF395GFE/,/files/ENCFF832JUP/,/files/ENCFF141TWX/,/files/ENCFF190HPM/		ENCBS582SLC	1	1		Homo sapiens	embryonic	81 days										/replicates/fff25f8a-6d6a-45be-873a-ae407b9d31d7/
/experiments/ENCSR000EIL/	ENCSR000EIL	DNase-seq	DNase-seq			chorion	chorion	Duke human Chorion DNase-seq	Gregory Crawford, Duke	ENCODE	released	/files/ENCFF000ACU/,/files/ENCFF000SFY/,/files/ENCFF000SFZ/,/files/ENCFF000SGA/,/files/ENCFF000SGB/,/files/ENCFF000SGC/,/files/ENCFF000SGD/,/files/ENCFF000SGE/,/files/ENCFF001SOH/,/files/ENCFF001UUK/,/files/ENCFF593JBN/,/files/ENCFF270JYA/,/files/ENCFF525SNY/,/files/ENCFF436VVS/,/files/ENCFF913HCF/,/files/ENCFF675NWS/,/files/ENCFF406NXY/,/files/ENCFF772FRH/,/files/ENCFF350WFN/,/files/ENCFF577CVT/,/files/ENCFF389UMJ/,/files/ENCFF351MUE/,/files/ENCFF795BKQ/,/files/ENCFF200JVK/,/files/ENCFF268ZNF/,/files/ENCFF880MKD/,/files/ENCFF687UHE/,/files/ENCFF406WZN/,/files/ENCFF395OBW/,/files/ENCFF789UJQ/,/files/ENCFF144FTX/,/files/ENCFF837FVN/,/files/ENCFF795HYU/,/files/ENCFF113DRH/,/files/ENCFF982GFS/,/files/ENCFF987DPM/		ENCBS121AAA	1	2,1		Homo sapiens	unknown											/replicates/322158e4-485f-4cd8-b0e3-c31fe4a21d77/,/replicates/eb21af10-21cc-4a5e-ae3d-9e967d775c63/
